ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
397,Winnipeg Pride Parade Route Change 2010,"[""Pride Winnipeg""]",Winnipeg,MB,2010,"[""Parade Route Change""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;"">To accommodate the move to The Forks, the Pride Parade route is changed to starting at </span><span style=""margin&#58;0px;"">the Manitoba Legislative Building and going straight down Broadway Boulevard to The Forks.</span></span><span style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&#160;</span></span><br>",,2010-parade-route.png,/:i:/s/CanadianPrideHistoricalSociety/EYTUx8u0yXRNhw3zZhjMpugBVxGYKy-ujCY4zTXLgcDXaA?e=tPh1rN
398,Launch of Queer Beer,"[""Pride Winnipeg""]",Winnipeg,MB,2010,"[""Product Launch""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""alignment-baseline&#58;auto;backface-visibility&#58;visible;baseline-shift&#58;0px;border-color&#58;rgb(0, 0, 0);border-collapse&#58;collapse;border-width&#58;0px;border-style&#58;none;border-spacing&#58;0px;border-radius&#58;0px;box-shadow&#58;none;box-sizing&#58;content-box;clear&#58;none;clip&#58;auto;clip-path&#58;none;clip-rule&#58;nonzero;color-interpolation&#58;srgb;color-interpolation-filters&#58;linearrgb;color-rendering&#58;auto;columns&#58;auto auto;column-fill&#58;balance;column-rule&#58;0px none rgb(0, 0, 0);column-span&#58;none;counter-increment&#58;none;counter-reset&#58;none;cursor&#58;text;display&#58;inline;dominant-baseline&#58;auto;fill-opacity&#58;1;fill-rule&#58;nonzero;flex&#58;0 1 auto;flex-flow&#58;row nowrap;flood-opacity&#58;1;font-family&#58;WordVisi_MSFontService, Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;height&#58;auto;image-rendering&#58;auto;line-break&#58;auto;line-height&#58;19.425px;margin&#58;0px;mask&#58;none;max-height&#58;none;max-width&#58;none;min-height&#58;0px;min-width&#58;0px;opacity&#58;1;order&#58;0;outline&#58;rgb(0, 0, 0) none 0px;perspective&#58;none;perspective-origin&#58;0px 0px;pointer-events&#58;auto;ruby-position&#58;over;shape-rendering&#58;auto;stop-opacity&#58;1;stroke&#58;none;stroke-dasharray&#58;none;stroke-dashoffset&#58;0px;stroke-linecap&#58;butt;stroke-linejoin&#58;miter;stroke-miterlimit&#58;4;stroke-opacity&#58;1;stroke-width&#58;1px;table-layout&#58;auto;text-align&#58;left;text-align-last&#58;auto;text-anchor&#58;start;text-emphasis-position&#58;over;text-overflow&#58;clip;text-rendering&#58;auto;text-shadow&#58;none;text-underline-position&#58;auto;transform-origin&#58;0px 0px;transform-style&#58;flat;transition&#58;all 0s ease 0s;width&#58;auto;writing-mode&#58;horizontal-tb;z-index&#58;auto;zoom&#58;1;""><span>Queer Beer is launch in partnership with local brewery Half Pints. The “Fruity and Fabulous” beer becomes an annual stable of the Pride Winnipeg Festival</span></span></span><br>",https://web.archive.org/web/20110915005620/http://www.pridewinnipeg.com/news/index.html,queer-beer.jpg,/:i:/s/CanadianPrideHistoricalSociety/EbM42Cue3SBIn5tSU7ag0c8B7MJbIU-4Os2zSmB-cyEUhQ?e=Zf0Ija
399,Name Changed to 'Pride Winnipeg Festival',"[""Pride Winnipeg""]",Winnipeg,MB,Nov-10,"[""Major Decision/Announcement""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;"">The organization changes its name to the current Pride Winnipeg Festival to be more inclusive.</span></span><span style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&#160;</span></span><br>",,,
400,Winnipeg Grand Marshal 2011,"[""Pride Winnipeg""]",Winnipeg,MB,17-May-11,"[""Parade Marshal""]","<span style=""color&#58;black;"">​<span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">It is announced that David Pepper, a human rights activist and founder of the </span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">North Star Triangle Project</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> and members of Winnipeg “Group of 5” which consists of local gay men sponsoring a gay man refugee from Iran will lead the 2011 Pride Parade</span></span><br>", https://www.winnipegfreepress.com/arts-and-life/life/free-to-be-122645003.html,david-pepper.jpg,/:i:/s/CanadianPrideHistoricalSociety/Ebx00O6R-0lMt5-WDcbIxQMB7ZjYwMONdKlXGN9KJP2kmg?e=8QPES5
401,Winnipeg Pride Parade Route 2012,"[""Pride Winnipeg""]",Winnipeg,MB,2012,"[""Parade Route Change""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;"">The Pride Parade route is changed again due to issues with the previous years route. The new route starts at the </span><span style=""margin&#58;0px;"">Manitoba Legislative Building, going down Memorial Boulevard to York Street, to Gary Avenue, to Broadway Boulevard and ending back at the Manitoba Legislative Building.</span></span><span style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&#160;</span></span><br>",,2012-parade-route.png,/:i:/s/CanadianPrideHistoricalSociety/Eb9kRxJ7KFpJpICZ4V_nifUBX-vpM31OSLa_bP5rulOe7w?e=RATW6h
402,Winnipeg Parade Marshal 2012,"[""Pride Winnipeg""]",Winnipeg,MB,22-May-12,"[""Parade Marshal""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;"">It is announced that community leaders and human rights activists </span><span style=""margin&#58;0px;"">Richard</span><span style=""margin&#58;0px;""> North</span><span style=""margin&#58;0px;""> and Chris</span><span style=""margin&#58;0px;""> Vogel will lead the 25</span></span><span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;8.5pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;vertical-align&#58;super;"">th</span></span><span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;""> Pride Parade</span></span></span><br>",https://web.archive.org/web/20120617084905/http://www.pridewinnipeg.com/category/news/,chris-vogel-and-richard-north.jpg,/:i:/s/CanadianPrideHistoricalSociety/EXB9YD0HTrhItMvwpQT36igBwIpOqpjb4CI2kK052nJ9-g?e=KZD7Ei
403,New Community Events,"[""Pride Winnipeg""]",Winnipeg,MB,2012,"[""Community Event""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;"">The 25</span></span><span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;8.5pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;vertical-align&#58;super;"">th</span></span><span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;""> Anniversary gave blossom to many new community events that turned into new annual community events (list community events)</span></span><span style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&#160;</span></span><br>",,,
404,Winnipeg Certificate of Appreciation 2012,"[""Pride Winnipeg""]",Winnipeg,MB,16-Jul-12,"[""Proclamation/Award/Accolade""]","<span style=""color&#58;black;"">​S<span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">am Katz the Mayor of Winnipeg presents current Chair of the Board of Directors Barb </span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">Burkowski</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> with a Certificate of Appreciate to recognize </span><span style=""margin&#58;0px;background-repeat&#58;repeat-x;background-position&#58;left bottom;border-bottom&#58;1px solid transparent;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">all of</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> her years of dedicated service to the Pride Winnipeg Festival</span></span><br>",https://web.archive.org/web/20121113144448/http://www.pridewinnipeg.com/ ,,
405,Out + About YouTube Series,"[""Pride Winnipeg""]",Winnipeg,MB,2-Feb-13,"[""Social Media Debut""]","<span style=""color&#58;black;"">​<span style=""margin&#58;0px;background-repeat&#58;repeat-x;background-position&#58;left bottom;border-bottom&#58;1px solid transparent;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">In an effort to</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> build a presence on YouTube, Pride Winnipeg Festival launches its Out + About YouTube series. The series lasts six episodes and sees a brief resurface in 2016 before ultimately folding. </span></span><br>",https://web.archive.org/web/20130411104651/http://www.pridewinnipeg.com:80/news/ ,,
406,Parade Moves Back to Portage Avenue,"[""Pride Winnipeg""]",Winnipeg,MB,22-Feb-19,"[""Parade Route Change""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">The parade route
returns to Winnipeg’s famous intersection of Portage Avenue and Main Street for
the 2019 Pride Winnipeg Festival.</span></span><br>",https://web.archive.org/web/20190228131706/http://www.pridewinnipeg.com/2019/02/22/pride-winnipeg-32nd-anniversary-parade-moves-back-to-portage-ave/,2019 winnipeg route change.png,https://winnipeg.ctvnews.ca/getting-around-during-the-pride-winnipeg-parade-sunday-1.4446627?cache=yes%3FclipId%3D89830
407,Outdoor Pride Winnipeg Festival Expansion 2019,"[""Pride Winnipeg""]",Winnipeg,MB,4-Mar-19,"[""Inaugural Pride Event"",""Festival Location Change""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Pride Winnipeg
Festival announces an expansion of its Outdoor Festival and Concert with
improvements to its children’s entertainment area, concession villages, and
sponsor lounge as well as the addition of a sacred fire at the Oodena
Celebration Circle.</span></span><br>",https://web.archive.org/web/20190329071758/http://www.pridewinnipeg.com/news/,,
408,Winnipeg Parade Marshals 2019,"[""Pride Winnipeg ""]",Winnipeg,MB,16-Apr-19,"[""Parade Marshal""]","<span style=""color&#58;black;"">​<span lang=""EN-CA"" style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin&#58;0px;background-repeat&#58;repeat-x;background-position&#58;left bottom;border-bottom&#58;1px solid transparent;"">Peetanacoot</span><span style=""margin&#58;0px;""> </span><span style=""margin&#58;0px;background-repeat&#58;repeat-x;background-position&#58;left bottom;border-bottom&#58;1px solid transparent;"">Nenakawekapo</span><span style=""margin&#58;0px;""> (Winnie Sunshine)</span><span style=""margin&#58;0px;"">, a Two-Spirit person and Trans woman is announced as the 2019 Grand Marshal. The Youth Marshal is Janelle </span><span style=""margin&#58;0px;"">Campagne</span><span style=""margin&#58;0px;""> an LGBTQ* activist and former President of the </span><span style=""margin&#58;0px;"">Collège Louis-Riel</span><span style=""margin&#58;0px;""> GSA group. There was no group marshal for 2019.</span></span><span style=""margin&#58;0px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);font-size&#58;11pt;line-height&#58;19.425px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&#160;</span></span><br>",https://www.cbc.ca/news/canada/manitoba/cbc-manitoba-winnipeg-pride-parade-1.5147365,2019 winnipeg marshal.png,https://www.cbc.ca/news/canada/manitoba/cbc-manitoba-winnipeg-pride-parade-1.5147365
409,New President Appointed,"[""Pride Winnipeg""]",Winnipeg,MB,30-Jul-19,"[""Leadership Appointment""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Pride Winnipeg
Festival announces it has appointed Barry Karlenzig as its new President.</span></span><br>",https://web.archive.org/web/20190329071758/https://www.pridewinnipeg.com/2018/08/28/pride-winnipeg-festival-appoints-new-president/,,
410,Winnipeg Fierté Canada Pride Festival Postponed and Dates Changes 2020,"[""Pride Winnipeg ""]",Winnipeg,MB,27-Mar-20,"[""Major Decision/Announcement"",""COVID-19""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Due to the COVID-19
pandemic it is announced that the planned 2020 Fierté Canada Pride Festival is
being postponed and the festival dates will be pushed into September.</span></span><br>",,,
411,Pride Winnipeg Goes Virtual 2020,"[""Pride Winnipeg ""]",Winnipeg  ,MB,2-May-21,"[""COVID-19"",""Major Decision/Announcement""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">As a follow up to
their March 27, 2020 announcement, Pride Winnipeg Festival announces that the
2020 Fierté Canada Pride Festival is postponed until 2022. It is also announced
that the 2020 Pride Winnipeg Festival will go virtual with the new dates of
September 4-13, 2021.</span></span><br>",,,
412,Winnipeg Mayor versus Gays,"[""Gay Pride""]",Winnipeg,MB,"Jan. 18, 1989","[""Political Event""]","<span style=""color&#58;black;"">​</span><span style=""color&#58;black;""><span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Winnipeg mayor,
William Norrie, refuses to sign proclamation for Gay and Lesbian Pride Week;
complaint filed under Human Rights Code of Manitoba by Don Campbell.</span></span><br>",,,
413,Twinkie Award 1992,"[""Gay Pride""]",Winnipeg,MB,29-Jul-92,"[""Proclamation/Award/Accolade"",""Political Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Winnipeg mayor Bill
Norrie given Twinkie Award by Gays for Equality June 16; his refusal again this
year to sign proclamation for Gay &amp; Lesbian Pride Week; since 1987 has
refused Pride or Pink Triangle Day proclamations; Glen Murray, gay Winnipeg
councillor, spoke at rally</span></span><br>",,,
414,New [Winnipeg] Mayor says no!,"[""Gay Pride""]",Winnipeg,MB,"Dec. 9, 1992","[""Political Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">Susan Thompson says
she will not change former mayor Bill Norrie's policy of refusing to proclaim
Gay &amp; Lesbian Pride Week or Pink Triangle Day; etc.; brief observations and
comment of Councillor Glen Murray regarding Thompson</span></span><br>",,,
415,Winnipeg Fighting over pride,"[""Gay Pride""]",Winnipeg,MB,27-Jul-94,"[""Political Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">two factions in
Winnipeg fighting over use of name &quot;Gay/Lesbian Pride Committee&quot;; two
groups have organized separate pride functions; additional controversy over a
book at the Resource Centre relating to considerations of pedophilia</span></span><br>",,,
416,God and Pride,"[""Gay Pride""]",Winnipeg,MB,24-Jul-96,"[""Political Event""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">ten Winnipeg churches
place advertisement in Free Press showing support for gays/lesbians; support
came after other churches organized against Bill C-33, the federal
anti-discrimination legislation</span></span><br>",,,
417,Pride 1999 Success,"[""Gay Pride""]",Winnipeg,MB,28-Jul-99,"[""Attendance Record""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">newsnote reporting on
Pride '99 celebrations in Winnipeg; &quot;an estimated 1,500 people showed up
to march&quot;</span></span><br>",,,
418,Winnipeg Pride Plans 2000,"[""Gay Pride""]",Winnipeg,MB,19-Apr-00,"[""Festival Dates""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">for Winnipeg;
committee has selected June 12-18, 2000 for celebrations; some details of plans</span></span><br>",,,
419,Winnipeg Pride 2000,"[""Gay Pride""]",Winnipeg,MB,31-May-00,"[""Festival Dates""]","<span style=""color&#58;black;"">​<span style=""font-size&#58;11.0pt;line-height&#58;107%;font-family&#58;&quot;Calibri&quot;,sans-serif;"">report on plans for
upcoming Pride Week in Winnipeg, June 12-18, 2000; contact information</span></span><br>",,,
420,The Laramine Project,"[""Tectonic Theatre Company""]",Winnipeg,MB,Apr-14,"[""Community Event""]","<span style=""color&#58;black;"">​<span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">Developed by </span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">Moisés</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> Kaufman and the Tectonic Theater Company, this timely play revisits the savage beating of a gay college student in Laramie, Wyoming almost 15 years ago, and examines the community's effort to redefine itself after being labeled intolerant. Presented by the Dept. of Theatre/Film's Acting IV&#58; </span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">Honours and senior production students</span></span><br>",https://www.winnipegfreepress.com/arts-and-life/events/249933685.html,,
421,The Laramie Project ,"[""Meraki Theatre Productions""]",Winnipeg,MB,"May 29, 30, 31 2018","[""Community Event""]","<span style=""color&#58;black;"">​<p style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;"">Performed at the Rachel Browne Theatre</p><p style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;"">&quot;The Laramie Project&quot; is a play that addresses the murder of openly gay Matthew Shepard, a young twenty-one-year-old man. This documentary-style play takes place in the small town of Laramie, Wyoming, where the hate crime that took the life of Matthew Shepard sparked national debate exactly 20 years ago. We had overwhelming support from the community and we sold out all three of our performances. Due to all of our support, we were able to donate the proceeds of our show to The Matthew Shepard Foundation and The Rainbow Resource Centre's youth programming (both Peer Project and BLiNK). Half of the proceeds were given to The Matthew Shepard Foundation while the other half were split evenly between our local Rainbow Resource Centre's youth programs. Our production of “The Laramie Project” was voted the “Favourite Local Performance of 2018” by The Uniter Journal.</p></span><br>",https://www.merakitheatre.com/meraki-theatre-the-laramie-project; https://www.merakitheatre.com/the-laramie-project-gallery,,
422,Winnipeg Pride Youth Dance Party 2015,"[""Rainbow Resource Centre and Queerview""]",Winnipeg,MB,2015,"[""Community Event""]","<span style=""color&#58;black;""><br></span></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">The Rainbow Resource Centre and </span><span style=""margin&#58;0px;background-repeat&#58;repeat-x;background-position&#58;left bottom;border-bottom&#58;1px solid transparent;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);"">Queerview</span><span style=""margin&#58;0px;font-family&#58;Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;font-size&#58;16px;text-align&#58;left;background-color&#58;rgb(255, 255, 255);""> invite young LGBTTQIA* folks to an all-ages Pride dance party.</span><br></div>",http://publications.winnipegfreepress.com/i/518229-2015/9? ,,
423,Winnipeg Pride Youth Dance Party 2018,"[""Pride Winnipeg""]",Winnipeg,MB,2018,"[""Community Event""]","<span style=""color&#58;black;"">​<span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;display&#58;inline !important;"">Get your dancing shoes on! Peer Project for Youth, QueerView, and QPOC Winnipeg invite all LGBT2SQ+ and allied youth ages 13-24 to come to this free, dry, pride dance party at the West End Cultural Centre</span></span><br>",https://rainbowresourcecentre.org/events/pride-youth-dance/,,
424,Winnipeg Pride Youth Dance Party 2019,"[""Rainbow Resource Centre, Queerview, QPOC Winnipeg""]",Winnipeg,MB,2019,"[""Community Event""]","<span style=""color&#58;black;"">​<span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;display&#58;inline !important;"">Rainbow Resource Centre's Youth Program, QPOC Winnipeg, and Queerview present...PRIDE YOUTH DANCE PARTY! For 2SLGBTQ+ (two-spirit, lesbian, gay, bisexual, transgender, queer, questioning) and allied youth ages 13-21! Free! Donations accepted. Featuring&#58; * DJ Kilusan from QPOC Winnipeg! * Drag performances by Dirt, Supernova, Sonny Dee, Lady Quinnzarr, and SlayTana! * A talent show put on by youth! * Pride photo backdrop! Bring your own phones/cameras! * A quiet space available to make art! * Snacks! Please note&#58; * WECC is wheelchair accessible (elevator on site) * There will be loud music and dim lighting * Gender-inclusive washrooms*&#160;<span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;display&#58;inline !important;"">It is important to us that the event is a positive space for everyone in the community to attend, we will not tolerate... * verbal, emotional, physical, or sexual harassment of any kind; * racist, sexist, classist, homophobic, transphobic, fatphobic, ableist, xenophobic, or any other oppressive behaviors or language</span></span></span><br>",https://www.wpgforfree.ca/event/pride-youth-dance-party/,,
425,REEL Pride Film Screening 2002,"[""Winnipeg Gay and Lesbian Film Society""]",Winnipeg,MB,2002,"[""Community Event""]","<div style=""""><p style=""color&#58;black;font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;""><span style=""font-size&#58;12pt;font-family&#58;&quot;times new roman&quot;;"">Held at the Cinematheque</span></p><font color=""#000000"" face=""Calibri, Arial, Helvetica, sans-serif""><span style=""font-size&#58;11pt;"">​</span></font><span style=""display&#58;inline !important;""><font color=""#000000"" face=""Times New Roman"" size=""3"">A week-long extravaganza&#160;showcasing films and videos, from Manitoba, Canada, the US, UK, Australia and France.</font></span><br></div>",http://web.archive.org/web/20030202041507/https://www.reelpride.org/,,
426,REEL Pride Film Screening 2003,"[""Winnipeg Gay and Lesbian Film Society""]",Winnipeg,MB,2003,"[""Community Event""]","<span style=""color&#58;black;"">​<span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;display&#58;inline !important;"">Films Include&#58; Whether You Like It Or Not&#58; The Making of Hedwig Documentary, 9 Dead Gay Guys, My Mother Like Women (A Mi Madre Le Gustan Las Mujeres), Saved By The Belles , This Obedience, My Life on Ice (Ma Vraie Vie a Rouen)<p>Held at Cinematheque</p></span></span><br>",http://web.archive.org/web/20031120133942/https://www.reelpride.org/,photoBells.jpg,http://web.archive.org/web/20031120133942/https://www.reelpride.org/
427,REEL Pride Film Screening 2004,"[""Winnipeg Gay and Lesbian Film Society""]",Winnipeg,MB,2004,"[""Community Event""]","<span style=""color&#58;black;font-family&#58;&quot;times new roman&quot;;font-size&#58;12pt;"">At the</span><span style=""color&#58;black;""> ​<span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;display&#58;inline !important;"">Imax Theatre November 24th, 25th, 28th <p>Globe Cinema November 26th &amp; 27th</p><p>Films include Malled, Interviews with My Next Girlfriend, Annie Dearest&#58; The Real Miracle Worker<br></p></span></span>",http://web.archive.org/web/20041210152230/http://www.reelpride.org/schedule2004.htm,,
428,REEL Pride Film Screening 2005,"[""Winnipeg Gay and Lesbian Film Society""]",Winnipeg,MB,2005,"[""Community Event""]","<span style=""color&#58;black;"">​</span><span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;"">In June during Winnipeg Pride, Reel Pride enjoyed a successful evening with the screenings of D.E.B.S and Eating Out. Reel Pride is a yearly film festival held in November each year. This year marks the the 12th year for Reel Pride and the 20th Anniversary of the Winnipeg Gay &amp; Lesbian Film Society!</span><span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;"">&#160;Films include Girl Play, Bear Club, Reception. Held at IMAX</span><span style=""font-family&#58;&quot;Times New Roman&quot;;font-size&#58;medium;""><br></span><br>", http://web.archive.org/web/20051111003920if_/http://www.reelpride.org:80/ http://web.archive.org/web/20060215193742fw_/http://www.reelpride.org/screens.htm,,
